extension, description, software
ACTION, Automator Action,macOS
APK,Application,Android
APP,Executable,macOS
BAT,Batch File,Windows
BIN,Binary Executable,Windows, macOS, Linux
CMD,Command Script,Windows
COM,Command File,Windows
COMMAND,Terminal Command,macOS
CPL,Control Panel Extension,Windows
CSH,C Shell Script,macOS, Linux
EXE,Executable,Windows
GADGET,Windows Gadget,Windows
INF1,Setup Information File,Windows
INS,Internet Communication Settings,Windows
INX,InstallShield Compiled Script,Windows
IPA,Application,iOS
ISU,InstallShield Uninstaller Script,Windows
JOB,Windows Task Scheduler Job File,Windows
JSE,JScript Encoded File,Windows
KSH,Unix Korn Shell Script,Linux
LNK,File Shortcut,Windows
MSC,Microsoft Common Console Document,Windows
MSI,Windows Installer Package,Windows
MSP,Windows Installer Patch,Windows
MST,Windows Installer Setup Transform File,Windows
OSX,Executable,macOS
OUT,Executable,Linux
PAF,Portable Application Installer File,Windows
PIF,Program Information File,Windows
PRG,Executable,GEM
PS1,Windows PowerShell Cmdlet,Windows
REG,Registry Data File,Windows
RGS,Registry Script,Windows
RUN,Executable,Linux
SCR,Screensaver Executable,Windows
SCT,Windows Scriptlet,Windows
SHB,Windows Document Shortcut,Windows
SHS,Shell Scrap Object,Windows
U3P,U3 Smart Application,Windows
VB,VBScript File,Windows
VBE,VBScript Encoded Script,Windows
VBS,VBScript File,Windows
VBSCRIPT,Visual Basic Script,Windows
WORKFLOW,Automator Workflow,macOS
WS,Windows Script,Windows
WSF,Windows Script,Windows
WSH,Windows Script Preference,Windows
0XE,Renamed Virus File,F-Secure Internet Security
73K,TI-73 Application,TI Connect
89K,TI-89 Application,TI Connect
A6P,Authorware 6 Program File,Adobe Authorware
AC,GNU Autoconf Script,Autoconf
ACC,GEM Accessory File,Gemulator
ACR,ACRobot Script,ACRobot
ACTM,AutoCAD Action Macro,AutoCAD
AHK,AutoHotkey Script,AutoHotkey
AIR,Adobe AIR Installation Package,Adobe AIR
APP,FoxPro Application,Visual FoxPro
ARSCRIPT,ArtRage Script,ArtRage Studio
AS,Adobe Flash ActionScript File,Adobe Flash
ASB,Alphacam Stone VB Macro,Alphacam
AWK,AWK Script,AWK
AZW2,Kindle Active Content App File,Kindle Collection Manager
BEAM,Compiled Erlang File,Erlang
BTM,4DOS Batch File,4DOS
CEL,Celestia Script,Celestia
CELX,Celestia Script,Celestia
CHM,Compiled HTML Help File,Firefox, IE, Safari
COF,MPLAB COFF File,MPLAB IDE
CRT,Security Certificate,Firefox, IE, Chrome, Safari
DEK,Eavesdropper Batch File,Eavesdropper
DLD,EdLog Compiled Program,Edlog
DMC,Medical Manager Script,Sage Medical Manager
DOCM,Word Macro-Enabled Document,Microsoft Word
DOTM,Word Macro-Enabled Template,Microsoft Word
DXL,Rational DOORS Script,Rational DOORS
EAR,Java Enterprise Archive File,Apache Geronimo
EBM,EXTRA! Basic Macro,EXTRA!
EBS,E-Run 1.x Script,E-Prime (v1)
EBS2,E-Run 2.0 Script,E-Prime (v2)
ECF,SageCRM Component File,SageCRM
EHAM,ExtraHAM Executable,HAM Programmer Toolkit
ELF,Nintendo Wii Game File,Dolphin Emulator
ES,SageCRM Script,SageCRM
