cnt,cnt_ben,cnt_mal,proc,proc_chain
1,0,1,explorer.exe,excel.exe => powershell.exe => unknown_process.exe => unknown_process.exe => explorer.exe
5,0,5,explorer.exe,winword.exe => cmd.exe => cmd.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,excel.exe => cmd.exe => powershell.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,winword.exe => cmd.exe => powershell.exe => unknown_process.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => svchost.exe => unknown_process.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => svchost.exe => csrss.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => unknown_process.exe => rundll32.exe => svchost.exe => explorer.exe
9,0,9,explorer.exe,winword.exe => cmd.exe => powershell.exe => cmd.exe => unknown_process.pkzip => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => rundll32.exe => powershell.exe => explorer.exe
3,0,3,explorer.exe,winword.exe => cmd.exe => powershell.exe => unknown_process.exe => control.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => winlogon.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => cmd.exe => unknown_process.exe => unknown_process.exe => explorer.exe
12,0,12,explorer.exe,unknown_process.exe => control.exe => explorer.exe
1,0,1,explorer.exe,unknown_process => unknown_process.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => regsvr32.exe => explorer.exe
2,0,2,explorer.exe,winword.exe => powershell.exe => unknown_process.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => vbc.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => powershell.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => explorer.exe => unknown_process.exe => cmd.exe => unknown_process.exe => cmd.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,winword.exe => powershell.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,winword.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,svchost.exe => svchost.exe => explorer.exe
4,1,3,explorer.exe,unknown_process.exe => cmd.exe => explorer.exe
1,0,1,explorer.exe,iexplore.exe => iexplore.exe => svchost.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => winlogon.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => dwm.exe => explorer.exe
85,0,85,explorer.exe,explorer.exe
232,0,232,explorer.exe,unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => rundll32.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => cmd.exe => cmd.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => explorer.exe => explorer.exe
1,0,1,explorer.exe,winword.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe
6,0,6,explorer.exe,winword.exe => cmd.exe => powershell.exe => unknown_process.exe => explorer.exe
3,0,3,explorer.exe,winword.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => svchost.exe => svchost.exe => explorer.exe
84,0,84,explorer.exe,unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => notepad.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.xyz => unknown_process.xyz => explorer.exe
1,0,1,explorer.exe,winword.exe => cmd.exe => cmd.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,explorer.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => unknown_process.tmp => explorer.exe
6,0,6,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => rundll32.exe => svchost.exe => explorer.exe
2,0,2,explorer.exe,wscript.exe => unknown_process.scr => explorer.exe
23,0,23,explorer.exe,unknown_process.exe => svchost.exe => explorer.exe
3,0,3,explorer.exe,winword.exe => cmd.exe => powershell.exe => cmd.exe => unknown_process.pkzip => control.exe => explorer.exe
4,4,0,explorer.exe,cmd.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.tmp => explorer.exe
1,0,1,explorer.exe,unknown_process => unknown_process.exe => explorer.exe
